VCD info: dumpfile sim/i2c_simulation.vcd opened for output.
[I2C Testbench] Iniciando simulación...
Time=0 ns | SDA=1 SCL=1 | M_State=0 S_State=0 | cmd_valid=0 cmd_ready=1 busy=0 bus_active=0 | RegAddr=00 S_Shift=00000000
Time=38450 ns | SDA=1 SCL=0 | M_State=0 S_State=5 | cmd_valid=0 cmd_ready=1 busy=0 bus_active=1 | RegAddr=20 S_Shift=00100000
[OK] Dirección de registro 8'h20 enviada correctamente.
Time=38500 ns | SDA=1 SCL=0 | M_State=0 S_State=5 | cmd_valid=1 cmd_ready=1 busy=0 bus_active=1 | RegAddr=20 S_Shift=00100000
Time=38510 ns | SDA=1 SCL=0 | M_State=4 S_State=5 | cmd_valid=1 cmd_ready=0 busy=1 bus_active=1 | RegAddr=20 S_Shift=00100000
Time=38520 ns | SDA=1 SCL=0 | M_State=4 S_State=5 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=20 S_Shift=00100000
Time=39510 ns | SDA=1 SCL=1 | M_State=4 S_State=5 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=20 S_Shift=00100000
Time=39550 ns | SDA=1 SCL=1 | M_State=4 S_State=5 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=20 S_Shift=01000001
Time=40510 ns | SDA=1 SCL=0 | M_State=4 S_State=5 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=20 S_Shift=01000001
Time=41010 ns | SDA=0 SCL=0 | M_State=4 S_State=5 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=20 S_Shift=01000001
Time=41510 ns | SDA=0 SCL=1 | M_State=4 S_State=5 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=20 S_Shift=01000001
Time=41550 ns | SDA=0 SCL=1 | M_State=4 S_State=5 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=20 S_Shift=10000010
Time=42510 ns | SDA=0 SCL=0 | M_State=4 S_State=5 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=20 S_Shift=10000010
Time=43010 ns | SDA=1 SCL=0 | M_State=4 S_State=5 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=20 S_Shift=10000010
Time=43510 ns | SDA=1 SCL=1 | M_State=4 S_State=5 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=20 S_Shift=10000010
Time=43550 ns | SDA=1 SCL=1 | M_State=4 S_State=5 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=20 S_Shift=00000101
Time=44510 ns | SDA=1 SCL=0 | M_State=4 S_State=5 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=20 S_Shift=00000101
Time=45010 ns | SDA=0 SCL=0 | M_State=4 S_State=5 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=20 S_Shift=00000101
Time=45510 ns | SDA=0 SCL=1 | M_State=4 S_State=5 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=20 S_Shift=00000101
Time=45550 ns | SDA=0 SCL=1 | M_State=4 S_State=5 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=20 S_Shift=00001010
Time=46510 ns | SDA=0 SCL=0 | M_State=4 S_State=5 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=20 S_Shift=00001010
Time=47510 ns | SDA=0 SCL=1 | M_State=4 S_State=5 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=20 S_Shift=00001010
Time=47550 ns | SDA=0 SCL=1 | M_State=4 S_State=5 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=20 S_Shift=00010100
Time=48510 ns | SDA=0 SCL=0 | M_State=4 S_State=5 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=20 S_Shift=00010100
Time=49010 ns | SDA=1 SCL=0 | M_State=4 S_State=5 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=20 S_Shift=00010100
Time=49510 ns | SDA=1 SCL=1 | M_State=4 S_State=5 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=20 S_Shift=00010100
Time=49550 ns | SDA=1 SCL=1 | M_State=4 S_State=5 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=20 S_Shift=00101001
Time=50510 ns | SDA=1 SCL=0 | M_State=4 S_State=5 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=20 S_Shift=00101001
Time=51010 ns | SDA=0 SCL=0 | M_State=4 S_State=5 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=20 S_Shift=00101001
Time=51510 ns | SDA=0 SCL=1 | M_State=4 S_State=5 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=20 S_Shift=00101001
Time=51550 ns | SDA=0 SCL=1 | M_State=4 S_State=5 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=20 S_Shift=01010010
Time=52510 ns | SDA=0 SCL=0 | M_State=4 S_State=5 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=20 S_Shift=01010010
Time=53010 ns | SDA=1 SCL=0 | M_State=4 S_State=5 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=20 S_Shift=01010010
Time=53510 ns | SDA=1 SCL=1 | M_State=4 S_State=5 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=20 S_Shift=01010010
Time=53550 ns | SDA=1 SCL=1 | M_State=4 S_State=5 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=20 S_Shift=10100101
Time=54510 ns | SDA=1 SCL=0 | M_State=5 S_State=5 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=20 S_Shift=10100101
Time=54550 ns | SDA=0 SCL=0 | M_State=5 S_State=6 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=20 S_Shift=10100101
Time=55510 ns | SDA=0 SCL=1 | M_State=5 S_State=6 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=20 S_Shift=10100101
Time=56510 ns | SDA=0 SCL=0 | M_State=0 S_State=6 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=20 S_Shift=10100101
